candidate_index,center_x_norm,center_y_norm,area_norm,median_depth,timestamp,scenario,frame_index,candidate_count,bbox_x,bbox_y,bbox_width,bbox_height,frames,expected_count_rate,merge_rate,false_split_rate,identity_stability_rate
1,0.7946428571428571,0.7366071428571429,0.09167729591836735,1.9759372472763062,1788700209.9616191,clearly_separated,3,4,132,140,92,50,4,0.0,0.0,1.0,0.0
2,0.20089285714285715,0.5669642857142857,0.003587372448979592,1.9747647047042847,1788700209.9616706,clearly_separated,3,4,36,122,18,10,4,0.0,0.0,1.0,0.0
3,0.42410714285714285,0.5714285714285714,0.04878826530612245,1.5781869888305664,1788700209.9617329,clearly_separated,3,4,78,92,34,72,4,0.0,0.0,1.0,0.0
0,0.04017857142857143,0.8169642857142857,0.005022321428571429,2.009809732437134,1788700210.347422,clearly_separated,4,3,0,176,18,14,5,0.0,0.0,1.0,0.0
1,0.8125,0.7366071428571429,0.08370535714285714,2.0100395679473877,1788700210.3475091,clearly_separated,4,3,140,140,84,50,5,0.0,0.0,1.0,0.0
2,0.4330357142857143,0.5535714285714286,0.03316326530612245,1.6224833726882935,1788700210.3475795,clearly_separated,4,3,84,92,26,64,5,0.0,0.0,1.0,0.0
0,0.05357142857142857,0.8080357142857143,0.00860969387755102,1.9309921264648438,1788700210.7337973,clearly_separated,5,3,0,172,24,18,6,0.0,0.0,1.0,0.0
1,0.7946428571428571,0.7366071428571429,0.09167729591836735,2.001610279083252,1788700210.7338767,clearly_separated,5,3,132,140,92,50,6,0.0,0.0,1.0,0.0
2,0.42857142857142855,0.5625,0.03794642857142857,1.5960781574249268,1788700210.73394,clearly_separated,5,3,82,92,28,68,6,0.0,0.0,1.0,0.0
0,0.05357142857142857,0.8080357142857143,0.00860969387755102,1.9710630178451538,1788700211.121307,clearly_separated,6,3,0,172,24,18,7,0.0,0.0,1.0,0.0
1,0.8214285714285714,0.7366071428571429,0.07971938775510204,1.9879002571105957,1788700211.121391,clearly_separated,6,3,144,140,80,50,7,0.0,0.0,1.0,0.0
2,0.42857142857142855,0.5535714285714286,0.03571428571428571,1.6393089294433594,1788700211.1214561,clearly_separated,6,3,82,92,28,64,7,0.0,0.0,1.0,0.0
0,0.22321428571428573,0.8348214285714286,0.0009566326530612245,2.0781478881835938,1788700211.5069056,clearly_separated,7,4,46,184,8,6,8,0.0,0.0,1.0,0.0
1,0.05357142857142857,0.7991071428571429,0.010522959183673469,2.0255417823791504,1788700211.5069745,clearly_separated,7,4,0,168,24,22,8,0.0,0.0,1.0,0.0
2,0.7901785714285714,0.7366071428571429,0.0936702806122449,1.9971435070037842,1788700211.5070364,clearly_separated,7,4,130,140,94,50,8,0.0,0.0,1.0,0.0
3,0.42857142857142855,0.5714285714285714,0.04591836734693878,1.6048126220703125,1788700211.507099,clearly_separated,7,4,80,92,32,72,8,0.0,0.0,1.0,0.0
0,0.0625,0.7946428571428571,0.013392857142857142,1.959657907485962,1788700211.895822,clearly_separated,8,3,0,166,28,24,9,0.0,0.0,1.0,0.0
1,0.8258928571428571,0.7366071428571429,0.07772640306122448,1.975754976272583,1788700211.8959584,clearly_separated,8,3,146,140,78,50,9,0.0,0.0,1.0,0.0
2,0.42857142857142855,0.5491071428571429,0.03459821428571429,1.6511281728744507,1788700211.8960273,clearly_separated,8,3,82,92,28,62,9,0.0,0.0,1.0,0.0
0,0.0625,0.8080357142857143,0.010044642857142858,2.0248584747314453,1788700212.2779715,clearly_separated,9,4,0,172,28,18,10,0.0,0.0,1.0,0.0
1,0.8214285714285714,0.7366071428571429,0.07971938775510204,2.0235605239868164,1788700212.2780683,clearly_separated,9,4,144,140,80,50,10,0.0,0.0,1.0,0.0
2,0.20089285714285715,0.5580357142857143,0.0007174744897959184,2.043433666229248,1788700212.2781293,clearly_separated,9,4,42,122,6,6,10,0.0,0.0,1.0,0.0
3,0.4330357142857143,0.5535714285714286,0.03826530612244898,1.5978081226348877,1788700212.2782032,clearly_separated,9,4,82,92,30,64,10,0.0,0.0,1.0,0.0
0,0.04017857142857143,0.8080357142857143,0.0064572704081632655,1.89643132686615,1788700212.6613412,clearly_separated,10,3,0,172,18,18,11,0.0,0.0,1.0,0.0
1,0.8080357142857143,0.7455357142857143,0.07884247448979592,1.9670113325119019,1788700212.661417,clearly_separated,10,3,138,144,86,46,11,0.0,0.0,1.0,0.0
2,0.4330357142857143,0.5625,0.043048469387755105,1.5228846073150635,1788700212.6614823,clearly_separated,10,3,82,90,30,72,11,0.0,0.0,1.0,0.0
0,0.05803571428571429,0.8125,0.005739795918367347,2.0080487728118896,1788700213.0437477,clearly_separated,11,4,4,174,18,16,12,0.0,0.0,1.0,0.0
1,0.7857142857142857,0.7366071428571429,0.09566326530612244,1.9967023134231567,1788700213.043845,clearly_separated,11,4,128,140,96,50,12,0.0,0.0,1.0,0.0
2,0.1875,0.5625,0.0047831632653061226,1.948885202407837,1788700213.0439506,clearly_separated,11,4,32,120,20,12,12,0.0,0.0,1.0,0.0
3,0.42857142857142855,0.5714285714285714,0.04591836734693878,1.6121273040771484,1788700213.0440276,clearly_separated,11,4,80,92,32,72,12,0.0,0.0,1.0,0.0
0,0.0625,0.7991071428571429,0.012276785714285714,1.9333460330963135,1788700213.4281168,clearly_separated,12,3,0,168,28,22,13,0.0,0.0,1.0,0.0
1,0.8125,0.7366071428571429,0.08370535714285714,2.0188241004943848,1788700213.4281979,clearly_separated,12,3,140,140,84,50,13,0.0,0.0,1.0,0.0
2,0.4375,0.5491071428571429,0.02965561224489796,1.681443214416504,1788700213.428258,clearly_separated,12,3,86,92,24,62,13,0.0,0.0,1.0,0.0
0,0.03571428571428571,0.8214285714285714,0.003826530612244898,1.956974983215332,1788700213.8100228,clearly_separated,13,2,0,178,16,12,14,0.07142857142857142,0.0,0.9285714285714286,0.0
1,0.6785714285714286,0.6205357142857143,0.2927295918367347,1.9244368076324463,1788700213.81013,clearly_separated,13,2,80,88,144,102,14,0.07142857142857142,0.0,0.9285714285714286,0.0
0,0.0625,0.8080357142857143,0.010044642857142858,1.94685959815979,1788700214.1939118,clearly_separated,14,3,0,172,28,18,15,0.06666666666666667,0.0,0.9333333333333333,0.0
1,0.8125,0.7366071428571429,0.08370535714285714,1.9953575134277344,1788700214.1939883,clearly_separated,14,3,140,140,84,50,15,0.06666666666666667,0.0,0.9333333333333333,0.0
2,0.4330357142857143,0.5580357142857143,0.03419961734693878,1.5882835388183594,1788700214.1940503,clearly_separated,14,3,84,92,26,66,15,0.06666666666666667,0.0,0.9333333333333333,0.0
0,0.05357142857142857,0.7991071428571429,0.010522959183673469,1.9503213167190552,1788700214.5759377,clearly_separated,15,4,0,168,24,22,16,0.0625,0.0,0.9375,0.0
1,0.8214285714285714,0.75,0.07015306122448979,1.9918832778930664,1788700214.5760179,clearly_separated,15,4,144,146,80,44,16,0.0625,0.0,0.9375,0.0
2,0.1875,0.5625,0.0047831632653061226,1.973518967628479,1788700214.576069,clearly_separated,15,4,32,120,20,12,16,0.0625,0.0,0.9375,0.0
3,0.42410714285714285,0.5580357142857143,0.03946109693877551,1.6039278507232666,1788700214.5761445,clearly_separated,15,4,80,92,30,66,16,0.0625,0.0,0.9375,0.0
0,0.04017857142857143,0.8169642857142857,0.005022321428571429,1.975701093673706,1788700214.9592671,clearly_separated,16,3,0,176,18,14,17,0.058823529411764705,0.0,0.9411764705882353,0.0
1,0.8035714285714286,0.7366071428571429,0.08769132653061225,1.9728333950042725,1788700214.959344,clearly_separated,16,3,136,140,88,50,17,0.058823529411764705,0.0,0.9411764705882353,0.0
2,0.42857142857142855,0.5535714285714286,0.03571428571428571,1.6413134336471558,1788700214.9594047,clearly_separated,16,3,82,92,28,64,17,0.058823529411764705,0.0,0.9411764705882353,0.0
